posteam,posteam_type,defteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,qtr,down,ydstogo,ydsnet,yards_gained,epa,wp,def_wp,wpa,vegas_wpa,pass_attempt,season,cp,cpoe,goal_to_go,air_yards,field_goal_attempt,field_goal_result,kick_distance,score_differential,no_score_prob,opp_fg_prob,opp_td_prob,fg_prob,td_prob,punt_blocked,punt_inside_twenty,touchback,punt_attempt,fourth_down_converted,touchdown
DET,home,SF,SF,47.0,454.0,454.0,4.0,4.0,5.0,28.0,0.0,-2.8038638,0.00040581223,0.9995942,-0.00016697642,-5.8109494e-05,1.0,2021,0.7326116,-73.26116,0,4.0,0.0,,,-24.0,0.1997847,0.14451718,0.21982288,0.17854878,0.24823141,0.0,0.0,0.0,0.0,0.0,0.0
DET,home,SF,SF,24.0,17.0,17.0,4.0,4.0,9.0,46.0,0.0,-2.4147587,0.045236193,0.9547638,-0.03973081,-0.02425326,1.0,2021,0.4561937,-45.61937,0,8.0,0.0,,,-8.0,0.25396934,0.0025936847,0.005381215,0.6754707,0.06195343,0.0,0.0,0.0,0.0,0.0,0.0
ATL,away,TB,TB,49.0,1158.0,2958.0,1.0,4.0,1.0,17.0,0.0,-0.94772536,0.28454137,0.71545863,-0.007912397,-0.0055040196,0.0,2021,,,0,,0.0,,,-7.0,0.023464885,0.16932976,0.28516132,0.17794271,0.3361184,0.0,0.0,0.0,0.0,0.0,0.0
ATL,away,TB,ATL,55.0,972.0,2772.0,1.0,4.0,1.0,9.0,0.0,-3.121343,0.27388352,0.7261165,-0.050640166,-0.008845247,0.0,2021,,,0,,0.0,,,-7.0,0.042002324,0.1758597,0.30159235,0.15729073,0.31517005,0.0,0.0,0.0,0.0,0.0,0.0
ATL,away,TB,TB,3.0,1300.0,1300.0,3.0,4.0,3.0,75.0,3.0,4.0203547,0.06341956,0.9365804,0.041652817,0.010325976,1.0,2021,0.42762223,57.237778,1,3.0,0.0,,,-18.0,0.0021048712,0.013848129,0.022066323,0.8874372,0.07310365,0.0,0.0,0.0,0.0,1.0,1.0
TB,home,ATL,TB,87.0,1202.0,1202.0,3.0,4.0,20.0,-15.0,0.0,-0.4324992,0.8407918,0.15920818,-0.012074947,-0.002070427,0.0,2021,,,0,,0.0,,,11.0,0.019236656,0.29441643,0.4121275,0.09337705,0.17381863,0.0,0.0,0.0,0.0,0.0,0.0
TB,home,ATL,TB,59.0,929.0,929.0,3.0,4.0,1.0,7.0,5.0,2.347319,0.69830596,0.30169404,0.05239165,0.027581275,0.0,2021,,,0,,0.0,,,3.0,0.047624905,0.17845601,0.28071073,0.15439995,0.3302207,0.0,0.0,0.0,0.0,1.0,0.0
ATL,away,TB,ATL,56.0,343.0,343.0,4.0,4.0,1.0,19.0,0.0,-3.2048833,0.011827546,0.9881725,-0.010289508,-0.004610296,1.0,2021,0.53538543,-53.538544,0,2.0,0.0,,,-16.0,0.28049415,0.13026658,0.2144312,0.12557237,0.24076135,0.0,0.0,0.0,0.0,0.0,0.0
TB,home,ATL,ATL,34.0,254.0,254.0,4.0,4.0,1.0,9.0,0.0,-3.3658373,0.9973103,0.0026897192,-0.0030194651,-0.0012530782,0.0,2021,,,0,,0.0,,,16.0,0.21760185,0.079565726,0.110605314,0.29652205,0.29362398,0.0,0.0,0.0,0.0,0.0,0.0
ATL,away,TB,ATL,52.0,120.0,120.0,4.0,4.0,7.0,17.0,0.0,-2.4018173,0.00017040728,0.9998296,-0.00011139868,-3.2642714e-05,1.0,2021,0.52174634,-52.174633,0,16.0,0.0,,,-23.0,0.5134477,0.11798678,0.13049029,0.10635722,0.12812501,0.0,0.0,0.0,0.0,0.0,0.0
MIA,home,BUF,BUF,48.0,1544.0,3344.0,1.0,4.0,2.0,26.0,0.0,-3.0133553,0.29380056,0.7061994,-0.024624377,-0.02957116,1.0,2021,0.43104225,-43.104225,0,7.0,0.0,,,-7.0,0.0077707386,0.1758832,0.27373397,0.18020822,0.35227868,0.0,0.0,0.0,0.0,0.0,0.0
MIA,home,BUF,BUF,16.0,343.0,2143.0,2.0,4.0,2.0,9.0,1.0,-3.1432264,0.17462346,0.8253765,-0.04214385,-0.031356394,0.0,2021,,,0,,0.0,,,-14.0,0.075679176,0.029111225,0.03538407,0.7218888,0.13663757,0.0,0.0,0.0,0.0,0.0,0.0
